CAEMP25N Total full-time and part-time employment by NAICS industry 1/
CAEMP25N Total full-time and part-time employment by NAICS industry 1/
Metropolitan Statistical Area
GeoFips,GeoName,LineCode,Description,2012
10500,"Albany, GA (Metropolitan Statistical Area)",2012,"        Local government",7638
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",,Employment by place of work,
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",10,Total employment (number of jobs),55676
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",,By type,
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",20,"  Wage and salary employment",42482
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",40,"  Proprietors employment",13194
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",50,"    Farm proprietors employment",1963
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",60,"    Nonfarm proprietors employment 2/",11231
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",,By industry,
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",70,"  Farm employment",3544
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",80,"  Nonfarm employment",52132
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",90,"    Private nonfarm employment",45468
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",100,"      Forestry, fishing, and related activities",(D)
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",200,"      Mining, quarrying, and oil and gas extraction",(D)
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",300,"      Utilities",169
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",400,"      Construction",2772
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",500,"      Manufacturing",7296
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",600,"      Wholesale trade",1645
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",700,"      Retail trade",6244
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",800,"      Transportation and warehousing",2892
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",900,"      Information",519
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",1000,"      Finance and insurance",1371
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",1100,"      Real estate and rental and leasing",2146
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",1200,"      Professional, scientific, and technical services",1808
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",1300,"      Management of companies and enterprises",245
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",1400,"      Administrative and support and waste management and remediation services",2863
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",1500,"      Educational services",785
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",1600,"      Health care and social assistance",6064
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",1700,"      Arts, entertainment, and recreation",895
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",1800,"      Accommodation and food services",3027
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",1900,"      Other services (except government and government enterprises)",3078
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",2000,"    Government and government enterprises",6664
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",2001,"      Federal civilian",316
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",2002,"      Military",331
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",2010,"      State and local",6017
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",2011,"        State government",583
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",2012,"        Local government",5434
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",,Employment by place of work,
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",10,Total employment (number of jobs),537634
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",,By type,
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",20,"  Wage and salary employment",445679
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",40,"  Proprietors employment",91955
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",50,"    Farm proprietors employment",2016
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",60,"    Nonfarm proprietors employment 2/",89939
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",,By industry,
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",70,"  Farm employment",3067
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",80,"  Nonfarm employment",534567
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",90,"    Private nonfarm employment",433081
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",100,"      Forestry, fishing, and related activities",(D)
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",200,"      Mining, quarrying, and oil and gas extraction",(D)
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",300,"      Utilities",1736
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",400,"      Construction",25148
